Date: 2010-03-17, Open: 5198.45, High: 5260.5, Low: 5177.15, SMA20: 5022.94, SMA50: 5028.95, RSI14: 91.46, Return: 0.65%, Output: Up
Date: 2013-01-14, Open: 5967.2, High: 6036.9, Low: 5962.15, SMA20: 5934.87, SMA50: 5817.73, RSI14: 71.5, Return: 1.22%, Output: Up
Date: 2013-01-15, Open: 6037.85, High: 6068.5, Low: 6018.6, SMA20: 5943.72, SMA50: 5826.91, RSI14: 73.1, Return: 0.54%, Output: Down
Date: 2013-01-16, Open: 6049.0, High: 6055.95, Low: 5992.05, SMA20: 5950.92, SMA50: 5834.55, RSI14: 60.95, Return: -0.9%, Output: Up
Date: 2013-01-17, Open: 6001.25, High: 6053.2, Low: 5988.1, SMA20: 5958.04, SMA50: 5842.43, RSI14: 69.15, Return: 0.62%, Output: Up
Date: 2013-01-18, Open: 6059.85, High: 6083.4, Low: 6048.3, SMA20: 5964.78, SMA50: 5849.77, RSI14: 68.22, Return: 0.42%, Output: Up
Date: 2013-01-21, Open: 6085.75, High: 6094.35, Low: 6065.1, SMA20: 5973.07, SMA50: 5857.33, RSI14: 70.0, Return: 0.3%, Output: Down
Date: 2013-01-22, Open: 6080.15, High: 6101.3, Low: 6040.5, SMA20: 5983.11, SMA50: 5863.81, RSI14: 57.11, Return: -0.56%, Output: Up
Date: 2013-01-23, Open: 6052.85, High: 6069.8, Low: 6021.15, SMA20: 5993.04, SMA50: 5869.7, RSI14: 55.92, Return: 0.1%, Output: Down
Date: 2013-01-24, Open: 6046.2, High: 6065.3, Low: 6007.85, SMA20: 5998.73, SMA50: 5875.31, RSI14: 50.39, Return: -0.58%, Output: Up
Date: 2013-01-25, Open: 6024.5, High: 6080.55, Low: 6014.45, SMA20: 6008.95, SMA50: 5883.08, RSI14: 59.94, Return: 0.92%, Output: Up
Date: 2013-01-28, Open: 6082.1, High: 6088.4, Low: 6061.4, SMA20: 6017.28, SMA50: 5890.9, RSI14: 58.68, Return: 0.0%, Output: Down
Date: 2013-01-29, Open: 6064.7, High: 6111.8, Low: 6042.45, SMA20: 6024.52, SMA50: 5899.28, RSI14: 59.43, Return: -0.41%, Output: Up
Date: 2013-01-30, Open: 6065.0, High: 6071.95, Low: 6044.15, SMA20: 6027.64, SMA50: 5908.91, RSI14: 60.4, Return: 0.1%, Output: Down
Date: 2013-01-31, Open: 6045.65, High: 6058.05, Low: 6025.15, SMA20: 6028.9, SMA50: 5918.18, RSI14: 59.88, Return: -0.35%, Output: Down
Date: 2013-02-01, Open: 6040.95, High: 6052.95, Low: 5983.2, SMA20: 6028.04, SMA50: 5926.72, RSI14: 46.74, Return: -0.59%, Output: Down
Date: 2013-02-04, Open: 6025.2, High: 6038.5, Low: 5981.25, SMA20: 6027.98, SMA50: 5934.17, RSI14: 40.49, Return: -0.19%, Output: Down
Date: 2013-02-05, Open: 5948.2, High: 5970.35, Low: 5946.9, SMA20: 6025.74, SMA50: 5940.76, RSI14: 43.39, Return: -0.51%, Output: Up
Date: 2013-02-06, Open: 5988.05, High: 5990.9, Low: 5953.15, SMA20: 6025.13, SMA50: 5947.41, RSI14: 36.89, Return: 0.04%, Output: Down
Date: 2013-02-07, Open: 5936.45, High: 5978.5, Low: 5927.6, SMA20: 6023.64, SMA50: 5953.47, RSI14: 29.08, Return: -0.34%, Output: Down
Date: 2013-02-08, Open: 5929.1, High: 5953.7, Low: 5883.65, SMA20: 6021.25, SMA50: 5956.99, RSI14: 21.85, Return: -0.59%, Output: Down
Date: 2013-02-11, Open: 5920.05, High: 5924.15, Low: 5879.1, SMA20: 6014.94, SMA50: 5958.44, RSI14: 23.98, Return: -0.1%, Output: Up
Date: 2013-02-12, Open: 5894.35, High: 5927.65, Low: 5886.45, SMA20: 6008.23, SMA50: 5959.3, RSI14: 28.62, Return: 0.42%, Output: Up
Date: 2013-02-13, Open: 5943.15, High: 5969.5, Low: 5922.95, SMA20: 6004.79, SMA50: 5960.54, RSI14: 34.78, Return: 0.18%, Output: Down
Date: 2013-02-14, Open: 5933.2, High: 5940.2, Low: 5884.55, SMA20: 5997.67, SMA50: 5960.69, RSI14: 16.41, Return: -0.61%, Output: Down
Date: 2013-02-15, Open: 5869.95, High: 5899.95, Low: 5853.9, SMA20: 5988.82, SMA50: 5960.43, RSI14: 15.79, Return: -0.16%, Output: Up
Date: 2013-02-18, Open: 5888.65, High: 5911.0, Low: 5878.45, SMA20: 5979.62, SMA50: 5959.77, RSI14: 20.8, Return: 0.18%, Output: Up
Date: 2013-02-19, Open: 5900.2, High: 5947.55, Low: 5883.15, SMA20: 5974.18, SMA50: 5960.42, RSI14: 30.36, Return: 0.7%, Output: Up
Date: 2013-02-20, Open: 5966.3, High: 5971.0, Low: 5937.55, SMA20: 5968.62, SMA50: 5961.1, RSI14: 33.5, Return: 0.06%, Output: Down
Date: 2013-02-21, Open: 5909.65, High: 5921.15, Low: 5844.4, SMA20: 5960.26, SMA50: 5960.17, RSI14: 27.96, Return: -1.53%, Output: Down
Date: 2013-02-22, Open: 5837.95, High: 5873.8, Low: 5835.8, SMA20: 5949.04, SMA50: 5959.42, RSI14: 28.8, Return: -0.03%, Output: Up
Date: 2013-02-25, Open: 5870.55, High: 5878.4, Low: 5825.0, SMA20: 5938.04, SMA50: 5959.48, RSI14: 32.81, Return: 0.08%, Output: Down
Date: 2013-02-26, Open: 5838.3, High: 5838.85, Low: 5748.6, SMA20: 5923.62, SMA50: 5957.12, RSI14: 24.52, Return: -1.6%, Output: Up
Date: 2013-02-27, Open: 5784.9, High: 5818.2, Low: 5749.7, SMA20: 5910.67, SMA50: 5955.9, RSI14: 32.41, Return: 0.62%, Output: Down
Date: 2013-02-28, Open: 5834.35, High: 5849.9, Low: 5671.9, SMA20: 5893.59, SMA50: 5951.82, RSI14: 27.7, Return: -1.79%, Output: Up
Date: 2013-03-01, Open: 5702.45, High: 5739.45, Low: 5679.9, SMA20: 5879.63, SMA50: 5947.63, RSI14: 31.93, Return: 0.47%, Output: Down
Date: 2013-03-04, Open: 5704.7, High: 5712.0, Low: 5663.6, SMA20: 5865.19, SMA50: 5943.27, RSI14: 27.12, Return: -0.37%, Output: Up
Date: 2013-03-05, Open: 5722.45, High: 5790.1, Low: 5722.4, SMA20: 5856.56, SMA50: 5942.0, RSI14: 36.84, Return: 1.5%, Output: Up
Date: 2013-03-06, Open: 5816.4, High: 5828.7, Low: 5795.05, SMA20: 5849.53, SMA50: 5941.26, RSI14: 43.04, Return: 0.59%, Output: Up
Date: 2013-03-07, Open: 5801.3, High: 5878.0, Low: 5801.3, SMA20: 5845.75, SMA50: 5940.41, RSI14: 47.99, Return: 0.77%, Output: Up
Date: 2013-03-08, Open: 5883.65, High: 5952.85, Low: 5883.0, SMA20: 5847.86, SMA50: 5941.92, RSI14: 53.55, Return: 1.41%, Output: Down
Date: 2013-03-11, Open: 5946.1, High: 5971.2, Low: 5930.35, SMA20: 5850.09, SMA50: 5942.6, RSI14: 50.21, Return: -0.06%, Output: Down
Date: 2013-03-12, Open: 5944.6, High: 5952.0, Low: 5893.65, SMA20: 5849.67, SMA50: 5942.78, RSI14: 47.8, Return: -0.48%, Output: Down
Date: 2013-03-13, Open: 5884.8, High: 5893.85, Low: 5842.25, SMA20: 5845.58, SMA50: 5939.94, RSI14: 49.92, Return: -1.06%, Output: Up
Date: 2013-03-14, Open: 5845.95, High: 5920.15, Low: 5791.75, SMA20: 5846.18, SMA50: 5937.93, RSI14: 54.28, Return: 0.99%, Output: Down
Date: 2013-03-15, Open: 5914.9, High: 5945.65, Low: 5861.0, SMA20: 5845.44, SMA50: 5935.06, RSI14: 51.25, Return: -0.62%, Output: Down
Date: 2013-03-18, Open: 5816.75, High: 5850.2, Low: 5814.35, SMA20: 5842.29, SMA50: 5932.0, RSI14: 55.6, Return: -0.64%, Output: Down
Date: 2013-03-19, Open: 5859.5, High: 5863.6, Low: 5724.3, SMA20: 5832.61, SMA50: 5926.88, RSI14: 46.43, Return: -1.53%, Output: Down
Date: 2013-03-20, Open: 5740.55, High: 5745.3, Low: 5682.3, SMA20: 5820.17, SMA50: 5921.34, RSI14: 50.1, Return: -0.9%, Output: Down
Date: 2013-03-21, Open: 5705.9, High: 5757.75, Low: 5647.95, SMA20: 5810.5, SMA50: 5915.14, RSI14: 45.46, Return: -0.63%, Output: Down
Date: 2013-03-22, Open: 5659.8, High: 5691.45, Low: 5631.8, SMA20: 5800.55, SMA50: 5909.14, RSI14: 46.41, Return: -0.13%, Output: Down
Date: 2013-03-25, Open: 5707.3, High: 5718.4, Low: 5624.4, SMA20: 5789.51, SMA50: 5901.34, RSI14: 37.23, Return: -0.31%, Output: Up
Date: 2013-03-26, Open: 5613.75, High: 5655.3, Low: 5612.05, SMA20: 5783.52, SMA50: 5893.04, RSI14: 34.26, Return: 0.14%, Output: Up
Date: 2013-03-28, Open: 5647.75, High: 5692.95, Low: 5604.85, SMA20: 5777.8, SMA50: 5886.65, RSI14: 33.82, Return: 0.73%, Output: Up
Date: 2013-04-01, Open: 5697.35, High: 5720.95, Low: 5675.9, SMA20: 5778.37, SMA50: 5879.96, RSI14: 25.77, Return: 0.38%, Output: Up
Date: 2013-04-02, Open: 5701.7, High: 5754.6, Low: 5687.15, SMA20: 5779.79, SMA50: 5873.63, RSI14: 31.96, Return: 0.77%, Output: Down
Date: 2013-04-03, Open: 5740.2, High: 5744.95, Low: 5650.1, SMA20: 5778.51, SMA50: 5865.44, RSI14: 29.39, Return: -1.31%, Output: Down
Date: 2013-04-04, Open: 5640.65, High: 5644.45, Low: 5565.65, SMA20: 5768.03, SMA50: 5855.97, RSI14: 27.72, Return: -1.73%, Output: Down
Date: 2013-04-05, Open: 5568.1, High: 5577.3, Low: 5534.7, SMA20: 5754.77, SMA50: 5845.95, RSI14: 19.56, Return: -0.39%, Output: Down
Date: 2013-04-08, Open: 5550.5, High: 5569.2, Low: 5537.05, SMA20: 5738.75, SMA50: 5836.42, RSI14: 20.47, Return: -0.19%, Output: Down
Date: 2013-04-09, Open: 5568.75, High: 5603.05, Low: 5487.0, SMA20: 5716.22, SMA50: 5824.83, RSI14: 20.09, Return: -0.86%, Output: Up
Date: 2013-04-10, Open: 5536.25, High: 5569.25, Low: 5477.2, SMA20: 5697.04, SMA50: 5814.51, RSI14: 32.76, Return: 1.16%, Output: Up
Date: 2013-04-11, Open: 5601.65, High: 5610.65, Low: 5542.85, SMA20: 5681.03, SMA50: 5805.39, RSI14: 40.47, Return: 0.64%, Output: Down
Date: 2013-04-12, Open: 5520.7, High: 5544.5, Low: 5494.9, SMA20: 5664.9, SMA50: 5794.84, RSI14: 38.3, Return: -1.17%, Output: Up
Date: 2013-04-15, Open: 5508.5, High: 5592.85, Low: 5500.3, SMA20: 5647.87, SMA50: 5785.52, RSI14: 42.96, Return: 0.72%, Output: Up
Date: 2013-04-16, Open: 5562.45, High: 5699.25, Low: 5555.85, SMA20: 5638.69, SMA50: 5779.32, RSI14: 53.98, Return: 2.16%, Output: Down
Date: 2013-04-17, Open: 5708.65, High: 5732.15, Low: 5669.0, SMA20: 5631.36, SMA50: 5773.35, RSI14: 53.44, Return: -0.0%, Output: Up
Date: 2013-04-18, Open: 5682.7, High: 5794.35, Low: 5681.85, SMA20: 5633.22, SMA50: 5769.87, RSI14: 56.81, Return: 1.66%, Output: Up
Date: 2013-04-22, Open: 5789.85, High: 5844.85, Low: 5789.8, SMA20: 5640.22, SMA50: 5767.37, RSI14: 58.47, Return: 0.89%, Output: Up
Date: 2013-04-23, Open: 5843.1, High: 5844.3, Low: 5791.55, SMA20: 5649.13, SMA50: 5765.34, RSI14: 56.11, Return: 0.04%, Output: Up
Date: 2013-04-25, Open: 5856.1, High: 5924.6, Low: 5853.3, SMA20: 5662.37, SMA50: 5765.59, RSI14: 66.66, Return: 1.36%, Output: Down
Date: 2013-04-26, Open: 5899.75, High: 5907.05, Low: 5860.5, SMA20: 5674.25, SMA50: 5765.06, RSI14: 71.91, Return: -0.76%, Output: Up
Date: 2013-04-29, Open: 5877.6, High: 5918.65, Low: 5868.8, SMA20: 5687.38, SMA50: 5764.7, RSI14: 75.49, Return: 0.56%, Output: Up
Date: 2013-04-30, Open: 5932.6, High: 5962.3, Low: 5867.8, SMA20: 5699.76, SMA50: 5764.64, RSI14: 77.5, Return: 0.44%, Output: Up
Date: 2013-05-02, Open: 5911.4, High: 6019.45, Low: 5910.95, SMA20: 5714.51, SMA50: 5766.69, RSI14: 84.76, Return: 1.17%, Output: Down
Date: 2013-05-03, Open: 5993.5, High: 6000.3, Low: 5930.15, SMA20: 5724.3, SMA50: 5767.82, RSI14: 76.87, Return: -0.92%, Output: Up
Date: 2013-05-06, Open: 5944.9, High: 5976.5, Low: 5928.45, SMA20: 5739.21, SMA50: 5769.28, RSI14: 76.6, Return: 0.46%, Output: Up
Date: 2013-05-07, Open: 5983.45, High: 6050.5, Low: 5982.95, SMA20: 5762.65, SMA50: 5771.36, RSI14: 85.97, Return: 1.21%, Output: Up
Date: 2013-05-08, Open: 6064.15, High: 6083.55, Low: 6024.95, SMA20: 5788.45, SMA50: 5773.88, RSI14: 85.69, Return: 0.43%, Output: Down
Date: 2013-05-09, Open: 6078.35, High: 6084.7, Low: 6040.45, SMA20: 5813.81, SMA50: 5777.84, RSI14: 80.08, Return: -0.32%, Output: Up
Date: 2013-05-10, Open: 6046.25, High: 6105.3, Low: 6045.6, SMA20: 5843.79, SMA50: 5782.73, RSI14: 81.49, Return: 0.74%, Output: Down
Date: 2013-05-13, Open: 6098.2, High: 6104.95, Low: 5972.9, SMA20: 5864.88, SMA50: 5785.24, RSI14: 64.85, Return: -1.88%, Output: Up
Date: 2013-05-14, Open: 5989.7, High: 6026.2, Low: 5970.05, SMA20: 5884.95, SMA50: 5789.92, RSI14: 62.81, Return: 0.25%, Output: Up
Date: 2013-05-15, Open: 6018.85, High: 6157.1, Low: 6018.85, SMA20: 5915.86, SMA50: 5796.92, RSI14: 69.94, Return: 2.52%, Output: Up
Date: 2013-05-16, Open: 6128.25, High: 6187.3, Low: 6128.25, SMA20: 5945.94, SMA50: 5806.46, RSI14: 67.59, Return: 0.38%, Output: Up
Date: 2013-05-17, Open: 6172.95, High: 6199.95, Low: 6146.15, SMA20: 5970.85, SMA50: 5815.81, RSI14: 72.77, Return: 0.28%, Output: Down
Date: 2013-05-20, Open: 6198.0, High: 6229.45, Low: 6146.05, SMA20: 5994.26, SMA50: 5824.98, RSI14: 68.29, Return: -0.49%, Output: Down
Date: 2013-05-21, Open: 6152.35, High: 6180.25, Low: 6102.35, SMA20: 6010.81, SMA50: 5831.57, RSI14: 62.99, Return: -0.7%, Output: Down
Date: 2013-05-22, Open: 6127.05, High: 6147.6, Low: 6074.45, SMA20: 6023.82, SMA50: 5837.09, RSI14: 57.23, Return: -0.32%, Output: Down
Date: 2013-05-23, Open: 6050.4, High: 6081.45, Low: 5955.7, SMA20: 6030.33, SMA50: 5839.17, RSI14: 51.58, Return: -2.09%, Output: Up
Date: 2013-05-24, Open: 6010.7, High: 6015.3, Low: 5936.8, SMA20: 6033.69, SMA50: 5839.92, RSI14: 50.87, Return: 0.28%, Output: Up
Date: 2013-05-27, Open: 5989.4, High: 6099.9, Low: 5975.55, SMA20: 6044.27, SMA50: 5842.74, RSI14: 52.65, Return: 1.66%, Output: Up
Date: 2013-05-28, Open: 6086.35, High: 6127.65, Low: 6055.4, SMA20: 6054.63, SMA50: 5846.68, RSI14: 52.8, Return: 0.46%, Output: Down
Date: 2013-05-29, Open: 6120.45, High: 6125.05, Low: 6069.8, SMA20: 6063.34, SMA50: 5851.74, RSI14: 53.67, Return: -0.11%, Output: Up
Date: 2013-05-30, Open: 6072.15, High: 6133.75, Low: 6072.15, SMA20: 6069.57, SMA50: 5856.05, RSI14: 52.06, Return: 0.32%, Output: Down
Date: 2013-05-31, Open: 6098.7, High: 6106.25, Low: 5975.55, SMA20: 6071.67, SMA50: 5858.31, RSI14: 50.37, Return: -2.26%, Output: Down
Date: 2013-06-03, Open: 5997.35, High: 6011.0, Low: 5916.35, SMA20: 6070.08, SMA50: 5860.39, RSI14: 46.35, Return: -0.78%, Output: Down
Date: 2013-06-04, Open: 5941.1, High: 5981.6, Low: 5910.25, SMA20: 6063.88, SMA50: 5863.86, RSI14: 32.14, Return: -0.33%, Output: Up
Date: 2013-06-05, Open: 5908.3, High: 5935.2, Low: 5883.7, SMA20: 6056.6, SMA50: 5868.45, RSI14: 30.08, Return: 0.07%, Output: Down
Date: 2013-06-06, Open: 5895.0, High: 5956.55, Low: 5869.5, SMA20: 6050.17, SMA50: 5873.71, RSI14: 27.94, Return: -0.04%, Output: Down
Date: 2013-06-07, Open: 5900.05, High: 5972.7, Low: 5871.3, SMA20: 6039.48, SMA50: 5878.3, RSI14: 27.48, Return: -0.68%, Output: Down
Date: 2013-06-10, Open: 5907.9, High: 5931.65, Low: 5857.4, SMA20: 6034.36, SMA50: 5883.18, RSI14: 29.39, Return: -0.05%, Output: Down
Date: 2013-06-11, Open: 5848.75, High: 5868.05, Low: 5780.35, SMA20: 6024.03, SMA50: 5886.13, RSI14: 26.21, Return: -1.52%, Output: Down
Date: 2013-06-12, Open: 5771.75, High: 5792.9, Low: 5738.6, SMA20: 6004.7, SMA50: 5887.68, RSI14: 30.97, Return: -0.49%, Output: Down
Date: 2013-06-13, Open: 5709.35, High: 5729.85, Low: 5683.1, SMA20: 5981.16, SMA50: 5887.57, RSI14: 25.82, Return: -1.06%, Output: Up
Date: 2013-06-14, Open: 5748.95, High: 5819.4, Low: 5739.4, SMA20: 5962.21, SMA50: 5888.78, RSI14: 27.02, Return: 1.92%, Output: Up
Date: 2013-06-17, Open: 5820.4, High: 5854.9, Low: 5770.25, SMA20: 5946.87, SMA50: 5892.32, RSI14: 28.64, Return: 0.72%, Output: Down
Date: 2013-06-18, Open: 5841.9, High: 5863.4, Low: 5804.3, SMA20: 5931.85, SMA50: 5897.1, RSI14: 27.32, Return: -0.62%, Output: Up
Date: 2013-06-19, Open: 5805.75, High: 5828.4, Low: 5777.9, SMA20: 5918.23, SMA50: 5902.48, RSI14: 26.04, Return: 0.15%, Output: Down
Date: 2013-06-20, Open: 5754.15, High: 5755.0, Low: 5645.65, SMA20: 5902.68, SMA50: 5904.74, RSI14: 24.92, Return: -2.86%, Output: Up
Date: 2013-06-21, Open: 5639.9, High: 5686.15, Low: 5616.85, SMA20: 5886.88, SMA50: 5908.19, RSI14: 28.2, Return: 0.21%, Output: Down
Date: 2013-06-24, Open: 5638.05, High: 5640.0, Low: 5566.25, SMA20: 5862.24, SMA50: 5908.82, RSI14: 25.82, Return: -1.37%, Output: Up
Date: 2013-06-25, Open: 5606.95, High: 5666.25, Low: 5570.25, SMA20: 5837.13, SMA50: 5909.12, RSI14: 27.36, Return: 0.34%, Output: Down
Date: 2013-06-26, Open: 5627.95, High: 5635.25, Low: 5579.35, SMA20: 5811.35, SMA50: 5910.32, RSI14: 26.67, Return: -0.36%, Output: Up
Date: 2013-06-27, Open: 5647.95, High: 5699.35, Low: 5630.95, SMA20: 5789.27, SMA50: 5912.6, RSI14: 37.04, Return: 1.68%, Output: Up
Date: 2013-06-28, Open: 5749.5, High: 5852.95, Low: 5749.5, SMA20: 5782.08, SMA50: 5915.67, RSI14: 48.06, Return: 2.81%, Output: Up
Date: 2013-07-01, Open: 5834.1, High: 5904.35, Low: 5822.2, SMA20: 5780.06, SMA50: 5919.87, RSI14: 56.18, Return: 0.97%, Output: Down
Date: 2013-07-02, Open: 5885.5, High: 5898.8, Low: 5852.3, SMA20: 5776.96, SMA50: 5921.36, RSI14: 55.39, Return: -0.7%, Output: Down
Date: 2013-07-03, Open: 5811.95, High: 5815.0, Low: 5760.4, SMA20: 5769.31, SMA50: 5920.09, RSI14: 53.86, Return: -1.48%, Output: Up
Date: 2013-07-04, Open: 5794.75, High: 5848.2, Low: 5786.05, SMA20: 5765.09, SMA50: 5920.09, RSI14: 51.61, Return: 1.14%, Output: Up
Date: 2013-07-05, Open: 5889.95, High: 5900.45, Low: 5858.45, SMA20: 5764.44, SMA50: 5919.12, RSI14: 51.02, Return: 0.53%, Output: Down
Date: 2013-07-08, Open: 5833.15, High: 5833.85, Low: 5775.55, SMA20: 5761.11, SMA50: 5917.93, RSI14: 49.89, Return: -0.96%, Output: Up
Date: 2013-07-09, Open: 5834.6, High: 5864.95, Low: 5834.6, SMA20: 5764.62, SMA50: 5917.02, RSI14: 51.97, Return: 0.82%, Output: Down
Date: 2013-07-10, Open: 5869.9, High: 5879.35, Low: 5802.85, SMA20: 5767.45, SMA50: 5914.75, RSI14: 59.93, Return: -0.72%, Output: Up
Date: 2013-07-11, Open: 5894.5, High: 5948.85, Low: 5887.95, SMA20: 5779.25, SMA50: 5913.47, RSI14: 64.59, Return: 2.04%, Output: Up
Date: 2013-07-12, Open: 6000.5, High: 6019.0, Low: 5951.15, SMA20: 5789.28, SMA50: 5914.77, RSI14: 72.94, Return: 1.25%, Output: Up
Date: 2013-07-15, Open: 5991.2, High: 6038.2, Low: 5980.95, SMA20: 5798.32, SMA50: 5915.96, RSI14: 73.03, Return: 0.36%, Output: Down
Date: 2013-07-16, Open: 5930.8, High: 5966.05, Low: 5910.95, SMA20: 5805.4, SMA50: 5914.2, RSI14: 68.88, Return: -1.25%, Output: Up
Date: 2013-07-17, Open: 5972.25, High: 5989.8, Low: 5926.75, SMA20: 5812.95, SMA50: 5912.28, RSI14: 66.25, Return: 0.3%, Output: Up
Date: 2013-07-18, Open: 5984.7, High: 6051.1, Low: 5974.55, SMA20: 5832.06, SMA50: 5912.04, RSI14: 62.24, Return: 1.08%, Output: Down
Date: 2013-07-19, Open: 6057.2, High: 6066.85, Low: 6020.25, SMA20: 5850.14, SMA50: 5910.72, RSI14: 58.66, Return: -0.15%, Output: Up
Date: 2013-07-22, Open: 6009.75, High: 6064.15, Low: 6004.25, SMA20: 5872.21, SMA50: 5911.75, RSI14: 62.21, Return: 0.04%, Output: Up
Date: 2013-07-23, Open: 6064.3, High: 6093.35, Low: 6061.3, SMA20: 5895.65, SMA50: 5913.4, RSI14: 72.8, Return: 0.76%, Output: Down
Date: 2013-07-24, Open: 6032.2, High: 6047.25, Low: 5962.6, SMA20: 5915.74, SMA50: 5910.27, RSI14: 61.06, Return: -1.44%, Output: Down
Date: 2013-07-25, Open: 5970.4, High: 5990.65, Low: 5896.4, SMA20: 5926.99, SMA50: 5905.03, RSI14: 52.65, Return: -1.39%, Output: Down
Date: 2013-07-26, Open: 5937.95, High: 5944.5, Low: 5869.5, SMA20: 5929.19, SMA50: 5899.0, RSI14: 55.25, Return: -0.36%, Output: Down
Date: 2013-07-29, Open: 5869.95, High: 5886.0, Low: 5825.8, SMA20: 5925.83, SMA50: 5892.5, RSI14: 48.1, Return: -0.93%, Output: Down
Date: 2013-07-30, Open: 5836.05, High: 5861.3, Low: 5747.6, SMA20: 5920.71, SMA50: 5885.32, RSI14: 45.9, Return: -1.31%, Output: Down
Date: 2013-07-31, Open: 5738.35, High: 5752.1, Low: 5675.75, SMA20: 5919.26, SMA50: 5878.27, RSI14: 35.08, Return: -0.23%, Output: Down
Date: 2013-08-01, Open: 5776.9, High: 5808.5, Low: 5676.85, SMA20: 5913.81, SMA50: 5873.48, RSI14: 26.07, Return: -0.25%, Output: Down
Date: 2013-08-02, Open: 5750.05, High: 5761.85, Low: 5649.0, SMA20: 5904.31, SMA50: 5867.37, RSI14: 21.34, Return: -0.87%, Output: Up
Date: 2013-08-05, Open: 5682.4, High: 5721.0, Low: 5661.5, SMA20: 5898.0, SMA50: 5859.42, RSI14: 25.36, Return: 0.13%, Output: Down
Date: 2013-08-06, Open: 5664.9, High: 5664.9, Low: 5521.8, SMA20: 5882.16, SMA50: 5848.04, RSI14: 17.96, Return: -2.52%, Output: Down
Date: 2013-08-07, Open: 5549.3, High: 5561.45, Low: 5486.85, SMA20: 5867.28, SMA50: 5836.33, RSI14: 8.89, Return: -0.42%, Output: Up
Date: 2013-08-08, Open: 5510.05, High: 5577.6, Low: 5510.05, SMA20: 5848.81, SMA50: 5825.16, RSI14: 15.35, Return: 0.84%, Output: Up
Date: 2013-08-12, Open: 5606.7, High: 5644.1, Low: 5557.1, SMA20: 5828.98, SMA50: 5817.69, RSI14: 20.59, Return: 0.84%, Output: Up
Date: 2013-08-13, Open: 5600.25, High: 5704.75, Low: 5578.9, SMA20: 5812.41, SMA50: 5812.89, RSI14: 24.9, Return: 1.55%, Output: Up
Date: 2013-08-14, Open: 5715.4, High: 5754.55, Low: 5690.2, SMA20: 5801.76, SMA50: 5809.35, RSI14: 32.51, Return: 0.75%, Output: Down
Date: 2013-08-16, Open: 5705.45, High: 5716.6, Low: 5496.05, SMA20: 5778.49, SMA50: 5801.03, RSI14: 26.79, Return: -4.08%, Output: Down
Date: 2013-08-19, Open: 5497.55, High: 5499.65, Low: 5360.65, SMA20: 5747.32, SMA50: 5790.9, RSI14: 24.73, Return: -1.69%, Output: Down
Date: 2013-08-20, Open: 5353.45, High: 5417.8, Low: 5306.35, SMA20: 5715.93, SMA50: 5781.31, RSI14: 25.87, Return: -0.25%, Output: Down
Date: 2013-08-21, Open: 5494.45, High: 5504.1, Low: 5268.45, SMA20: 5679.47, SMA50: 5769.8, RSI14: 25.24, Return: -1.83%, Output: Up
Date: 2013-08-22, Open: 5282.8, High: 5418.95, Low: 5254.05, SMA20: 5646.0, SMA50: 5762.19, RSI14: 33.43, Return: 2.0%, Output: Up
Date: 2013-08-23, Open: 5428.75, High: 5478.8, Low: 5377.8, SMA20: 5620.07, SMA50: 5756.42, RSI14: 37.87, Return: 1.17%, Output: Up
Date: 2013-08-26, Open: 5499.4, High: 5528.7, Low: 5454.45, SMA20: 5598.52, SMA50: 5751.97, RSI14: 40.04, Return: 0.09%, Output: Down
Date: 2013-08-27, Open: 5426.5, High: 5427.4, Low: 5274.25, SMA20: 5568.58, SMA50: 5741.55, RSI14: 33.31, Return: -3.45%, Output: Down
Date: 2013-08-28, Open: 5233.45, High: 5317.7, Low: 5118.85, SMA20: 5541.25, SMA50: 5730.25, RSI14: 37.77, Return: -0.05%, Output: Up
Date: 2013-08-29, Open: 5316.5, High: 5428.9, Low: 5303.0, SMA20: 5523.95, SMA50: 5722.16, RSI14: 45.23, Return: 2.35%, Output: Up
Date: 2013-08-30, Open: 5407.45, High: 5493.3, Low: 5360.2, SMA20: 5510.44, SMA50: 5715.15, RSI14: 45.98, Return: 1.16%, Output: Up
Date: 2013-09-02, Open: 5480.25, High: 5564.9, Low: 5478.85, SMA20: 5501.58, SMA50: 5713.05, RSI14: 47.43, Return: 1.44%, Output: Down
Date: 2013-09-03, Open: 5574.7, High: 5580.95, Low: 5323.75, SMA20: 5484.76, SMA50: 5706.52, RSI14: 36.48, Return: -3.77%, Output: Up
Date: 2013-09-04, Open: 5358.65, High: 5460.25, Low: 5318.9, SMA20: 5472.89, SMA50: 5703.68, RSI14: 39.39, Return: 2.0%, Output: Up
Date: 2013-09-05, Open: 5553.75, High: 5625.75, Low: 5552.7, SMA20: 5475.43, SMA50: 5703.36, RSI14: 53.28, Return: 2.66%, Output: Up
Date: 2013-09-06, Open: 5617.45, High: 5688.6, Low: 5566.15, SMA20: 5483.49, SMA50: 5705.19, RSI14: 60.28, Return: 1.56%, Output: Up
Date: 2013-09-10, Open: 5738.5, High: 5904.85, Low: 5738.2, SMA20: 5500.05, SMA50: 5709.48, RSI14: 66.57, Return: 3.81%, Output: Up
Date: 2013-09-11, Open: 5887.25, High: 5924.35, Low: 5832.7, SMA20: 5515.09, SMA50: 5710.9, RSI14: 71.62, Return: 0.28%, Output: Down
